epoch,train_loss,train_acc,val_loss,val_acc,memory_usage (MiB)
58,0.27770248,90.048,0.552783579,82.92,1507.996094
59,0.271122637,90.296,0.562393025,83.32,1507.996094
60,0.265662502,90.51,0.520486364,84.29,1507.996094
61,0.258226085,90.776,0.532533675,83.98,1507.996094
62,0.249593057,91.056,0.536518767,84.32,1507.996094
63,0.237646377,91.562,0.567647807,84.02,1507.996094
64,0.239760611,91.25,0.544167348,83.54,1507.996094
65,0.22741889,91.828,0.571177193,83.48,1507.996094
66,0.223315654,91.946,0.570788138,83.84,1507.996094
67,0.207363239,92.472,0.561860411,84.16,1507.996094
68,0.214090728,92.254,0.568093513,84.1,1507.996094
69,0.202628633,92.724,0.566849613,83.7,1507.996094
70,0.200876371,92.77,0.542500784,84.57,1507.996094
71,0.190290855,93.004,0.564489582,84.17,1507.996094
72,0.191974219,93.144,0.564699347,83.96,1507.996094
73,0.181883539,93.376,0.569615724,84.21,1507.996094
74,0.175472962,93.666,0.58537096,84.47,1507.996094
75,0.1811857,93.478,0.56633895,84.18,1507.996094
76,0.162496152,94.12,0.579458667,84.6,1507.996094
77,0.166102795,93.994,0.586201495,84.39,1507.996094
78,0.163205786,94.22,0.572600048,84.44,1507.996094
79,0.156576603,94.42,0.578744342,85.04,1507.996094
80,0.154904583,94.34,0.590783465,84.79,1507.996094
81,0.145374811,94.764,0.596935459,84.52,1507.996094
82,0.146795663,94.764,0.588744888,84.51,1507.996094
83,0.144708061,94.724,0.603959334,84.82,1507.996094
84,0.138794188,94.984,0.609448682,85.2,1507.996094
85,0.137494223,95.084,0.584487218,85.1,1507.996094
86,0.13314374,95.18,0.600744341,85.12,1507.996094
87,0.127411761,95.396,0.624886665,84.62,1507.996094
88,0.128593793,95.37,0.599121147,85.29,1507.996094
89,0.120905116,95.752,0.585412963,85.03,1507.996094
90,0.113968862,95.934,0.617525349,85.24,1507.996094
91,0.115390512,95.786,0.594042789,85.25,1507.996094
92,0.114888123,95.924,0.599841622,85.55,1507.996094
93,0.110241235,96.08,0.639327987,84.83,1507.996094
94,0.10611247,96.24,0.655084575,84.56,1507.996094
95,0.103487714,96.212,0.642876254,85.31,1507.996094
96,0.101688835,96.454,0.638189265,84.77,1507.996094
97,0.103917333,96.19,0.664842525,84.84,1507.996094
98,0.0927718,96.612,0.647464021,85.18,1507.996094
99,0.096758114,96.588,0.648405602,85.31,1507.996094
100,0.09405254,96.56,0.637486799,85.42,1507.996094
101,0.093364652,96.62,0.644686843,85.41,1507.996094
102,0.093138654,96.608,0.620249431,85.67,1507.996094
103,0.084839217,96.966,0.642255965,85.21,1507.996094
104,0.087245667,96.826,0.674267904,85.09,1507.996094
105,0.087865683,96.916,0.672946441,85.62,1507.996094
106,0.087586899,96.896,0.612864517,86.22,1507.996094
107,0.083239595,96.968,0.634833638,86.03,1507.996094
108,0.079688704,97.15,0.653867033,86.15,1507.996094
109,0.078815091,97.19,0.629573271,86.15,1507.996094
110,0.078050467,97.158,0.647801133,85.56,1507.996094
111,0.078646337,97.148,0.65112291,85.3,1507.996094
112,0.074164047,97.322,0.670821795,85.42,1507.996094
